Decisao 1
Filial 1
Probabilidades
7,1697;21,6355;30,0027;30,2012;24,0329;15,5873;7,9928;3,2485;1,0553;-9,6489;-9,8830;-9,9980;-10,0000;
6,7846;20,7389;29,3141;30,0553;24,3633;16,1439;8,5398;3,6276;1,2500;-9,5759;-9,8593;-9,9882;-9,9980;
6,0917;18,9680;27,6333;29,3614;24,8136;17,2800;9,8161;4,6203;1,8331;-9,3167;-9,7648;-9,9537;-9,9862;
5,3883;16,8682;25,0663;27,6751;24,7249;18,5481;11,6828;6,3492;3,0331;-8,6681;-9,4838;-9,8483;-9,9399;
4,5307;14,4497;21,9960;25,1014;23,7766;19,4567;13,8418;8,7677;5,0146;-7,3884;-8,8086;-9,5540;-9,7882;
3,5833;11,6973;18,5052;22,0238;22,0181;19,6100;15,7345;11,5363;7,7122;-5,3188;-7,4995;-8,8642;-9,3422;
2,6341;8,8515;14,6785;18,5256;19,7572;18,9552;16,8738;14,0397;10,7604;-2,5328;-5,4005;-7,5403;-8,2064;
1,8118;6,2576;10,9020;14,6926;16,9666;17,6505;17,0732;15,7081;13,5060;0,5918;-2,5890;-5,4285;-5,7467;
1,1040;4,0198;7,5072;10,9106;13,7426;15,6829;16,5037;16,3629;15,3829;3,4033;0,5576;-2,6061;-1,1752;
0,5096;2,1232;4,5966;7,5111;10,4721;13,1500;15,1535;16,1758;16,2128;5,3355;3,3875;0,5497;6,2186;
0,1486;0,8068;2,2914;4,5978;7,3832;10,2993;12,9956;15,0579;16,1320;6,1990;5,3308;3,3852;16,7683;



Decisao 2
Filial 1
Probabilidades
0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
0,0352;0,0700;0,1152;0,1412;0,1452;0,1032;0,1024;0,0892;0,0740;0,0568;0,0376;0,0228;0,0072;
0,0338;0,0686;0,1134;0,1402;0,1450;0,1048;0,1024;0,0897;0,0746;0,0575;0,0384;0,0234;0,0081;
0,0314;0,0648;0,1089;0,1366;0,1437;0,1076;0,1041;0,0907;0,0762;0,0593;0,0404;0,0252;0,0111;
0,0270;0,0581;0,0996;0,1289;0,1397;0,1115;0,1070;0,0940;0,0790;0,0630;0,0445;0,0290;0,0188;
0,0222;0,0490;0,0867;0,1160;0,1314;0,1131;0,1110;0,0986;0,0844;0,0681;0,0508;0,0352;0,0334;
0,0177;0,0398;0,0718;0,0998;0,1180;0,1103;0,1127;0,1043;0,0910;0,0757;0,0584;0,0434;0,0571;
0,0138;0,0313;0,0575;0,0820;0,1013;0,1016;0,1100;0,1076;0,0984;0,0843;0,0682;0,0527;0,0915;
0,0099;0,0235;0,0440;0,0647;0,0831;0,0896;0,1014;0,1063;0,1033;0,0936;0,0789;0,0641;0,1378;
0,0067;0,0165;0,0321;0,0490;0,0655;0,0751;0,0894;0,0988;0,1034;0,1000;0,0899;0,0761;0,1975;
0,0044;0,0111;0,0222;0,0354;0,0495;0,0602;0,0750;0,0877;0,0969;0,1012;0,0976;0,0880;0,2707;
0,0024;0,0068;0,0142;0,0240;0,0357;0,0466;0,0601;0,0741;0,0867;0,0957;0,0999;0,0966;0,3571;
0,0009;0,0033;0,0080;0,0149;0,0241;0,0346;0,0466;0,0598;0,0737;0,0862;0,0952;0,0995;0,4531;
Contribuicoes
0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
5,1178;10,1774;16,7492;20,5294;21,1109;15,0045;14,8881;12,9690;10,7590;-1,7417;-4,5333;-6,6851;-8,9532;
5,1178;10,1774;16,7492;20,5294;21,1109;15,0045;14,8881;12,9690;10,7590;-1,7417;-4,5333;-6,6851;-8,9532;
5,0447;10,1052;16,6553;20,4754;21,1026;15,0916;14,8898;12,9964;10,7906;-1,7060;-4,4934;-6,6543;-8,9058;
